,Level1,Level2,Level3,Level4,Total
1130,2008-2011,4,Gaussian process modulated renewal processes,Gaussian Processes for Survival Analysis,1
1131,2011-2014,5,Gaussian process modulated renewal processes,Poisson Process Jumping between an Unknown Number of Rates: Application to Neural Spike Data,1
1132,2011-2014,5,Gaussian process modulated renewal processes,Gaussian Processes for Survival Analysis,1
1133,2011-2014,6,Bayesian nonparametric models for bipartite graphs,Restricting exchangeable nonparametric distributions,1
1134,2011-2014,6,Bayesian nonparametric models for bipartite graphs,Finite-Dimensional BFRY Priors and Variational Bayesian Inference for Power Law Models,1
1135,2005-2008,7,Receptive Fields without Spike-Triggering,Least Informative Dimensions,1
1136,1987-1990,8,Using Local Models to Control Movement,Memory-based Stochastic Optimization,1
1137,1987-1990,8,Using Local Models to Control Movement,"Fast, Robust Adaptive Control by Learning only Forward Models",1
1138,1999-2002,9,Latent Dirichlet Allocation,Integrating Topics and Syntax,1
1139,1999-2002,9,Latent Dirichlet Allocation,Context as Filtering,1
1140,1999-2002,9,Latent Dirichlet Allocation,Sparse Overcomplete Latent Variable Decomposition of Counts Data,1
1141,1999-2002,9,Latent Dirichlet Allocation,A ``Shape Aware'' Model for semi-supervised Learning of Objects and its Context,1
1142,1999-2002,9,Latent Dirichlet Allocation,Correlated Bigram LSA for Unsupervised Language Model Adaptation,1
1143,1999-2002,9,Latent Dirichlet Allocation,Large Margin Taxonomy Embedding for Document Categorization,1
1144,1999-2002,9,Latent Dirichlet Allocation,Dirichlet-Bernoulli Alignment: A Generative Model for Multi-Class Multi-Label Multi-Instance Corpora,1
1145,1999-2002,9,Latent Dirichlet Allocation,Large Scale Nonparametric Bayesian Inference: Data Parallelisation in the Indian Buffet Process,1
1146,1999-2002,9,Latent Dirichlet Allocation,Efficient Optimization for Discriminative Latent Class Models,1
1147,1999-2002,9,Latent Dirichlet Allocation,Co-regularized Multi-view Spectral Clustering,1
1148,1999-2002,9,Latent Dirichlet Allocation,Complex Inference in Neural Circuits with Probabilistic Population Codes and Topic Models,1
1149,1999-2002,9,Latent Dirichlet Allocation,A Neural Autoregressive Topic Model,1
1150,1999-2002,9,Latent Dirichlet Allocation,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,1
1151,1999-2002,9,Latent Dirichlet Allocation,Small-Variance Asymptotics for Exponential Family Dirichlet Process Mixture Models,1
1152,1999-2002,9,Latent Dirichlet Allocation,When are Overcomplete Topic Models Identifiable? Uniqueness of Tensor Tucker Decompositions with Structured Sparsity,1
1153,1999-2002,9,Latent Dirichlet Allocation,Similarity Component Analysis,1
1154,1999-2002,9,Latent Dirichlet Allocation,Optimistic Concurrency Control for Distributed Unsupervised Learning,1
1155,1999-2002,9,Latent Dirichlet Allocation,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,1
1156,1999-2002,9,Latent Dirichlet Allocation,Latent Support Measure Machines for Bag-of-Words Data Classification,1
1157,1999-2002,9,Latent Dirichlet Allocation,Bayesian Sampling Using Stochastic Gradient Thermostats,1
1158,1999-2002,9,Latent Dirichlet Allocation,Geometric Dirichlet Means Algorithm for topic inference,1
1159,1999-2002,10,Hyperkernels,Computing regularization paths for learning multiple kernels,1
1160,1999-2002,10,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,1
1161,1999-2002,10,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,1
1162,1999-2002,10,Hyperkernels,Gaussian and Wishart Hyperkernels,1
1163,2002-2005,11,Hyperkernels,Computing regularization paths for learning multiple kernels,1
1164,2002-2005,11,Hyperkernels,A General and Efficient Multiple Kernel Learning Algorithm,1
1165,2002-2005,11,Hyperkernels,Combining Graph Laplacians for Semi--Supervised Learning,1
1166,2002-2005,11,Hyperkernels,Gaussian and Wishart Hyperkernels,1
1167,2005-2008,12,Linearly-solvable Markov decision problems,Compositionality of optimal control laws,1
1168,2005-2008,12,Linearly-solvable Markov decision problems,Policy gradients in linearly-solvable MDPs,1
1169,2005-2008,12,Linearly-solvable Markov decision problems,Optimal Reinforcement Learning for Gaussian Systems,1
1170,2002-2005,13,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,1
1171,2005-2008,0,A matching pursuit approach to sparse Gaussian process regression,Variational Mixture of Gaussian Process Experts,1
1172,2002-2005,1,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,1
1173,2002-2005,1,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,1
1174,2002-2005,1,Metric Learning by Collapsing Classes,Similarity Component Analysis,1
1175,2005-2008,2,Metric Learning by Collapsing Classes,Online Metric Learning and Fast Similarity Search,1
1176,2005-2008,2,Metric Learning by Collapsing Classes,An Online Algorithm for Large Scale Image Similarity Learning,1
1177,2005-2008,2,Metric Learning by Collapsing Classes,Similarity Component Analysis,1
1178,2008-2011,3,Reconstruction of Sparse Circuits Using Multi-neuronal Excitation (RESCUME),Bayesian Inference and Online Experimental Design for Mapping Neural Microcircuits,1
1179,2011-2014,4,Robustness and risk-sensitivity in Markov decision processes,Policy Gradient for Coherent Risk Measures,1
1180,2011-2014,5,Reducing statistical time-series problems to binary classification,Locating Changes in Highly Dependent Data with Unknown Number of Change Points,1
1181,1987-1990,6,Performance of a Stochastic Learning Microchip,Experimental Evaluation of Learning in a Neural Microsystem,1
1182,1999-2002,7,Categorization by Learning and Combining Object Parts,Discriminating Deformable Shape Classes,1
1183,2011-2014,8,Large-scale L-BFGS using MapReduce,Fast Classification Rates for High-dimensional Gaussian Generative Models,1
1184,2011-2014,8,Large-scale L-BFGS using MapReduce,A Multi-Batch L-BFGS Method for Machine Learning,1
1185,2014-2017,9,Large-scale L-BFGS using MapReduce,Fast Classification Rates for High-dimensional Gaussian Generative Models,1
1186,2014-2017,9,Large-scale L-BFGS using MapReduce,A Multi-Batch L-BFGS Method for Machine Learning,1
1187,2011-2014,10,Factoring nonnegative matrices with linear programs,Matrix factorization with binary components,1
1188,2011-2014,10,Factoring nonnegative matrices with linear programs,Scalable Methods for Nonnegative Matrix Factorizations of Near-separable Tall-and-skinny Matrices,1
1189,2011-2014,10,Factoring nonnegative matrices with linear programs,Spectral Methods for Supervised Topic Models,1
1190,2011-2014,10,Factoring nonnegative matrices with linear programs,Orthogonal NMF through Subspace Exploration,1
1191,2011-2014,10,Factoring nonnegative matrices with linear programs,Anchor-Free Correlated Topic Modeling: Identifiability and Algorithm,1
1192,1990-1993,11,A Neural Network for Motion Detection of Drift-Balanced Stimuli,Recurrent Eye Tracking Network Using a Distributed Representation of Image Motion,1
1193,2005-2008,12,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,1
1194,2008-2011,13,Multi-stage Convex Relaxation for Learning with Sparse Regularization,Identifying Alzheimer's Disease-Related Brain Regions from Multi-Modality Neuroimaging Data using Sparse Composite Linear Discrimination Analysis,1
1195,2011-2014,0,Near-Optimal MAP Inference for Determinantal Point Processes,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1
1196,2011-2014,0,Near-Optimal MAP Inference for Determinantal Point Processes,Expectation-Maximization for Learning Determinantal Point Processes,1
1197,2005-2008,1,Natural Actor-Critic for Road Traffic Optimisation,A Unifying Perspective of Parametric Policy Search Methods for Markov Decision Processes,1
1198,1990-1993,2,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,1
1199,1990-1993,2,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,1
1200,1990-1993,2,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,1
1201,1990-1993,2,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,1
1202,1993-1996,3,Supervised learning from incomplete data via an EM approach,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints,1
1203,1993-1996,3,Supervised learning from incomplete data via an EM approach,An Alternative Infinite Mixture Of Gaussian Process Experts,1
1204,1993-1996,3,Supervised learning from incomplete data via an EM approach,Max-margin classification of incomplete data,1
1205,1993-1996,3,Supervised learning from incomplete data via an EM approach,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,1
1206,2008-2011,4,k-NN Regression Adapts to Local Intrinsic Dimension,Gradient Weights help Nonparametric Regressors,1
1207,2008-2011,4,k-NN Regression Adapts to Local Intrinsic Dimension,Regression-tree Tuning in a Streaming Setting,1
1208,2008-2011,4,k-NN Regression Adapts to Local Intrinsic Dimension,Adaptivity to Local Smoothness and Dimension in Kernel Regression,1
1209,2011-2014,5,k-NN Regression Adapts to Local Intrinsic Dimension,Gradient Weights help Nonparametric Regressors,1
1210,2011-2014,5,k-NN Regression Adapts to Local Intrinsic Dimension,Regression-tree Tuning in a Streaming Setting,1
1211,2011-2014,5,k-NN Regression Adapts to Local Intrinsic Dimension,Adaptivity to Local Smoothness and Dimension in Kernel Regression,1
1212,1999-2002,6,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,1
1213,2002-2005,7,Fractional Belief Propagation,Approximate inference in latent Gaussian-Markov models from continuous time observations,1
1214,2008-2011,8,Non-stationary continuous dynamic Bayesian networks,Inter-time segment information sharing for non-homogeneous dynamic Bayesian networks,1
1215,2014-2017,9,Information-theoretic lower bounds for convex optimization with erroneous oracles,Algorithms and matching lower bounds for approximately-convex optimization,1
1216,1996-1999,10,Regularisation in Sequential Learning Algorithms,Adaptive Classification by Variational Kalman Filtering,1
1217,2002-2005,11,Unsupervised Variational Bayesian Learning of Nonlinear Models,Affine Independent Variational Inference,1
1218,2005-2008,12,A Game-Theoretic Approach to Apprenticeship Learning,Bootstrapping Apprenticeship Learning,1
1219,2008-2011,13,Which graphical models are difficult to learn?,Structure learning of antiferromagnetic Ising models,1
1220,2008-2011,13,Which graphical models are difficult to learn?,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,1
1221,2011-2014,0,Hardness of parameter estimation in graphical models,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,1
1222,2014-2017,1,Hardness of parameter estimation in graphical models,Interaction Screening: Efficient and Sample-Optimal Learning of Ising Models,1
1223,2008-2011,2,Learning to combine foveal glimpses with a third-order Boltzmann machine,Deep Networks with Internal Selective Attention through Feedback Connections,1
1224,2005-2008,3,A Kernel Statistical Test of Independence,Kernel Measures of Conditional Dependence,1
1225,2002-2005,4,Bayesian Surprise Attracts Human Attention,Graph-Based Visual Saliency,1
1226,2002-2005,4,Bayesian Surprise Attracts Human Attention,Dynamic visual attention: searching for coding length increments,1
1227,2002-2005,4,Bayesian Surprise Attracts Human Attention,Balancing Suspense and Surprise: Timely Decision Making with Endogenous Information Acquisition,1
1228,2005-2008,5,Bayesian Surprise Attracts Human Attention,Graph-Based Visual Saliency,1
1229,2005-2008,5,Bayesian Surprise Attracts Human Attention,Dynamic visual attention: searching for coding length increments,1
1230,2005-2008,5,Bayesian Surprise Attracts Human Attention,Balancing Suspense and Surprise: Timely Decision Making with Endogenous Information Acquisition,1
1231,2008-2011,6,Gaussian process regression with Student-t likelihood,Copula Processes,1
1232,1996-1999,7,State Abstraction in MAXQ Hierarchical Reinforcement Learning,Automated State Abstraction for Options using the U-Tree Algorithm,1
1233,1999-2002,8,State Abstraction in MAXQ Hierarchical Reinforcement Learning,Automated State Abstraction for Options using the U-Tree Algorithm,1
1234,2008-2011,9,A reinterpretation of the policy oscillation phenomenon in approximate policy iteration,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result,1
1235,2011-2014,10,A reinterpretation of the policy oscillation phenomenon in approximate policy iteration,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result,1
1236,1999-2002,11,One Microphone Source Separation,Source Separation with a Sensor Array using Graphical Models and Subband Filtering,1
1237,1999-2002,12,Sparse Representation for Gaussian Process Models,Incremental and Decremental Support Vector Machine Learning,1
1238,1990-1993,13,Recognizing Overlapping Hand-Printed Characters by Centered-Object Integrated Segmentation and Recognition,Adaptive Elastic Input Field for Recognition Improvement,1
1239,1990-1993,0,Statistics of Natural Images: Scaling in the Woods,A Phase Space Approach to Minimax Entropy Learning and the Minutemax Approximations,1
1240,1993-1996,1,Statistics of Natural Images: Scaling in the Woods,A Phase Space Approach to Minimax Entropy Learning and the Minutemax Approximations,1
1241,1996-1999,2,Transductive Inference for Estimating Values of Functions,On Transductive Regression,1
1242,1999-2002,3,Transductive Inference for Estimating Values of Functions,On Transductive Regression,1
1243,2008-2011,4,Reading Tea Leaves: How Humans Interpret Topic Models,A Neural Autoregressive Topic Model,1
1244,2008-2011,5,Supervised Clustering,Orbit Regularization,1
1245,2008-2011,5,Supervised Clustering,Expectation-Maximization for Learning Determinantal Point Processes,1
1246,2008-2011,6,Structured sparsity-inducing norms through submodular functions,Network Flow Algorithms for Structured Sparsity,1
1247,2008-2011,6,Structured sparsity-inducing norms through submodular functions,Efficient Minimization of Decomposable Submodular Functions,1
1248,2008-2011,6,Structured sparsity-inducing norms through submodular functions,Prismatic Algorithm for Discrete D.C. Programming Problem,1
1249,2008-2011,6,Structured sparsity-inducing norms through submodular functions,Shaping Level Sets with Submodular Functions,1
1250,2008-2011,6,Structured sparsity-inducing norms through submodular functions,A Convex Formulation for Learning Scale-Free Networks via Submodular Relaxation,1
1251,2008-2011,6,Structured sparsity-inducing norms through submodular functions,Learning as MAP Inference in Discrete Graphical Models,1
1252,2008-2011,6,Structured sparsity-inducing norms through submodular functions,On the Convergence Rate of Decomposable Submodular Function Minimization,1
1253,2008-2011,6,Structured sparsity-inducing norms through submodular functions,From MAP to Marginals: Variational Inference in Bayesian Submodular Models,1
1254,2008-2011,6,Structured sparsity-inducing norms through submodular functions,Partition-wise Linear Models,1
1255,2008-2011,6,Structured sparsity-inducing norms through submodular functions,LASSO with Non-linear Measurements is Equivalent to One With Linear Measurements,1
1256,2008-2011,6,Structured sparsity-inducing norms through submodular functions,Maximization of Approximately Submodular Functions,1
1257,1990-1993,7,"Fast, Robust Adaptive Control by Learning only Forward Models",Memory-based Stochastic Optimization,1
1258,2002-2005,8,Stable adaptive control with online learning,A Constraint Generation Approach to Learning Stable Linear Dynamical Systems,1
1259,1999-2002,9,Active Information Retrieval,Mean Field Approach to a Probabilistic Model in Information Retrieval,1
1260,2002-2005,10,Optimal cue selection strategy,Experience-Guided Search: A Theory of Attentional Control,1
1261,2002-2005,10,Optimal cue selection strategy,Load and Attentional Bayes,1
1262,2005-2008,11,Optimal cue selection strategy,Experience-Guided Search: A Theory of Attentional Control,1
1263,2005-2008,11,Optimal cue selection strategy,Load and Attentional Bayes,1
1264,1987-1990,12,Meiosis Networks,The Tempo 2 Algorithm: Adjusting Time-Delays By Supervised Learning,1
1265,1987-1990,12,Meiosis Networks,Constructive Learning Using Internal Representation Conflicts,1
1266,2008-2011,13,Learning large-margin halfspaces with more malicious noise,Learning Halfspaces with the Zero-One Loss: Time-Accuracy Tradeoffs,1
1267,2008-2011,13,Learning large-margin halfspaces with more malicious noise,Learning as MAP Inference in Discrete Graphical Models,1
1268,2011-2014,0,Learning large-margin halfspaces with more malicious noise,Learning Halfspaces with the Zero-One Loss: Time-Accuracy Tradeoffs,1
1269,2011-2014,0,Learning large-margin halfspaces with more malicious noise,Learning as MAP Inference in Discrete Graphical Models,1
1270,2005-2008,1,Kernel Measures of Conditional Dependence,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,1
1271,2011-2014,2,Wavelets on Graphs via Deep Learning,Unsupervised Deep Haar Scattering on Graphs,1
1272,2011-2014,3,Bayesian nonparametric models for ranked data,Bayesian nonparametric models for bipartite graphs,1
1273,2005-2008,4,Causal inference in sensorimotor integration,A Bayesian Model of Conditioned Perception,1
1274,2005-2008,4,Causal inference in sensorimotor integration,Characterizing response behavior in multisensory perception with conflicting cues,1
1275,2005-2008,4,Causal inference in sensorimotor integration,"Multisensory Encoding, Decoding, and Identification",1
1276,1993-1996,5,Extracting Tree-Structured Representations of Trained Networks,Projection Retrieval for Classification,1
1277,2014-2017,6,Explore no more: Improved high-probability regret bounds for non-stochastic bandits,Contextual semibandits via supervised learning oracles,1
1278,2005-2008,7,Multi-task Gaussian Process Prediction,Multi-task Gaussian Process Learning of Robot Inverse Dynamics,1
1279,2005-2008,7,Multi-task Gaussian Process Prediction,Fast Multivariate Spatio-temporal Analysis via Low Rank Tensor Learning,1
1280,2008-2011,8,Nonlinear Learning using Local Coordinate Coding,Learning Anchor Planes for Classification,1
1281,2008-2011,8,Nonlinear Learning using Local Coordinate Coding,Generalized Lasso based Approximation of Sparse Coding for Visual Recognition,1
1282,2008-2011,9,Variational Inference for the Nested Chinese Restaurant Process,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,1
1283,2011-2014,10,Learning visual motion in recurrent neural networks,A Recurrent Latent Variable Model for Sequential Data,1
1284,1993-1996,11,An Input Output HMM Architecture,A Dynamic HMM for On-line Segmentation of Sequential Data,1
1285,1993-1996,11,An Input Output HMM Architecture,Diffusion of Credit in Markovian Models,1
1286,2008-2011,12,Multi-Label Prediction via Compressed Sensing,On the Optimality of Classifier Chain for Multi-label Classification,1
1287,2002-2005,13,Interpolating between types and tokens by estimating power-law generators,Indian Buffet Processes with Power-law Behavior,1
1288,2005-2008,0,Interpolating between types and tokens by estimating power-law generators,Indian Buffet Processes with Power-law Behavior,1
1289,2002-2005,1,Distance Metric Learning for Large Margin Nearest Neighbor Classification,Similarity Component Analysis,1
1290,2005-2008,2,Distance Metric Learning for Large Margin Nearest Neighbor Classification,Similarity Component Analysis,1
1291,2002-2005,3,Ideal Observers for Detecting Motion: Correspondence Noise,Model selection and velocity estimation using novel priors for motion patterns,1
1292,2002-2005,3,Ideal Observers for Detecting Motion: Correspondence Noise,Functional form of motion priors in human motion perception,1
1293,2005-2008,4,Ideal Observers for Detecting Motion: Correspondence Noise,Model selection and velocity estimation using novel priors for motion patterns,1
1294,2005-2008,4,Ideal Observers for Detecting Motion: Correspondence Noise,Functional form of motion priors in human motion perception,1
1295,2002-2005,5,Learning the k in k-means,PG-means: learning the number of clusters in data,1
1296,2002-2005,5,Learning the k in k-means,Dip-means: an incremental clustering method for estimating the number of clusters,1
1297,2002-2005,5,Learning the k in k-means,Efficient and Robust Automated Machine Learning,1
1298,2011-2014,6,Constrained convex minimization via model-based excessive gap,A Universal Primal-Dual Convex Optimization Framework,1
1299,2014-2017,7,Constrained convex minimization via model-based excessive gap,A Universal Primal-Dual Convex Optimization Framework,1
1300,2005-2008,8,Multiple-Instance Active Learning,Multi-Level Active Prediction of Useful Image Annotations for Recognition,1
1301,1996-1999,9,"Orientation, Scale, and Discontinuity as Emergent Properties of Illusory Contour Shape",A Rotation and Translation Invariant Discrete Saliency Network,1
1302,1999-2002,10,The Infinite Hidden Markov Model,Analysis of Brain States from Multi-Region LFP Time-Series,1
1303,2002-2005,11,Extending Q-Learning to General Adaptive Multi-Agent Systems,New Criteria and a New Algorithm for Learning in Multi-Agent Systems,1
1304,2011-2014,12,Learning optimal spike-based representations,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,1
1305,2011-2014,12,Learning optimal spike-based representations,Unsupervised learning of an efficient short-term memory network,1
1306,2011-2014,13,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,1
1307,2014-2017,0,Rates of Convergence for Nearest Neighbor Classification,Near-optimal sample compression for nearest neighbors,1
1308,2008-2011,1,Distributed Delayed Stochastic Optimization,Communication-Efficient Distributed Dual Coordinate Ascent,1
1309,2011-2014,2,Distributed Delayed Stochastic Optimization,Communication-Efficient Distributed Dual Coordinate Ascent,1
1310,2008-2011,3,Copula Processes,Heavy-Tailed Process Priors for Selective Shrinkage,1
1311,2005-2008,4,Regret Minimization in Games with Incomplete Information,Strategy Grafting in Extensive Games,1
1312,1987-1990,5,Associative Learning via Inhibitory Search,Fast Learning with Predictive Forward Models,1
1313,1990-1993,6,Bayesian Model Comparison and Backprop Nets,Assessing and Improving Neural Network Predictions by the Bootstrap Algorithm,1
1314,2002-2005,7,Transfer learning for text classification,Flexible Transfer Learning under Support and Model Shift,1
1315,2005-2008,8,Transfer learning for text classification,Flexible Transfer Learning under Support and Model Shift,1
1316,2008-2011,9,Structured output regression for detection with partial truncation,A Discriminative Latent Model of Image Region and Object Tag Correspondence,1
1317,2008-2011,9,Structured output regression for detection with partial truncation,Simultaneous Object Detection and Ranking with Weak Supervision,1
1318,2008-2011,9,Structured output regression for detection with partial truncation,Beyond Actions: Discriminative Models for Contextual Group Activities,1
1319,2008-2011,9,Structured output regression for detection with partial truncation,Max-Margin Structured Output Regression for Spatio-Temporal Action Localization,1
1320,2005-2008,10,Balanced Graph Matching,An Integer Projected Fixed Point Method for Graph Matching and MAP Inference,1
1321,2005-2008,11,Real-time adaptive information-theoretic optimization of neurophysiology experiments,Multivariate f-divergence Estimation With Confidence,1
1322,2005-2008,11,Real-time adaptive information-theoretic optimization of neurophysiology experiments,Finite-Sample Analysis of Fixed-k Nearest Neighbor Density Functional Estimators,1
1323,2014-2017,12,Learning structured densities via infinite dimensional exponential families,Learning Additive Exponential Family Graphical Models via ,1
1324,2014-2017,12,Learning structured densities via infinite dimensional exponential families,Statistical Inference for Pairwise Graphical Models Using Score Matching,1
1325,1993-1996,13,Factorial Hidden Markov Models,Bayesian Map Learning in Dynamic Environments,1
1326,1993-1996,13,Factorial Hidden Markov Models,Context as Filtering,1
1327,1993-1996,13,Factorial Hidden Markov Models,Nonparametric Bayesian Models for Unsupervised Event Coreference Resolution,1
1328,1993-1996,13,Factorial Hidden Markov Models,Selective Prediction of Financial Trends with Hidden Markov Models,1
1329,1993-1996,13,Factorial Hidden Markov Models,SDP Relaxation with Randomized Rounding for Energy Disaggregation,1
1330,2008-2011,0,Inference with Multivariate Heavy-Tails in Linear Models,Affine Independent Variational Inference,1
1331,2008-2011,0,Inference with Multivariate Heavy-Tails in Linear Models,Probabilistic Inference with Generating Functions for Poisson Latent Variable Models,1
1332,1996-1999,1,Inference in Multilayer Networks via Large Deviation Bounds,Gaussian Fields for Approximate Inference in Layered Sigmoid Belief Networks,1
1333,2008-2011,2,Trace Lasso: a trace norm regularization for correlated designs,Selecting Diverse Features via Spectral Regularization,1
1334,2008-2011,2,Trace Lasso: a trace norm regularization for correlated designs,Local Linear Convergence of Forward--Backward under Partial Smoothness,1
1335,2011-2014,3,Trace Lasso: a trace norm regularization for correlated designs,Selecting Diverse Features via Spectral Regularization,1
1336,2011-2014,3,Trace Lasso: a trace norm regularization for correlated designs,Local Linear Convergence of Forward--Backward under Partial Smoothness,1
1337,2008-2011,4,Fractionally Predictive Spiking Neurons,Efficient Spike-Coding with Multiplicative Adaptation in a Spike Response Model,1
1338,2005-2008,5,Inferring rankings under constrained sensing,Riffled Independence for Ranked Data,1
1339,2005-2008,5,Inferring rankings under constrained sensing,A Data-Driven Approach to Modeling Choice,1
1340,2005-2008,5,Inferring rankings under constrained sensing,Minimax-optimal Inference from Partial Rankings,1
1341,2008-2011,6,Inferring rankings under constrained sensing,Riffled Independence for Ranked Data,1
1342,2008-2011,6,Inferring rankings under constrained sensing,A Data-Driven Approach to Modeling Choice,1
1343,2008-2011,6,Inferring rankings under constrained sensing,Minimax-optimal Inference from Partial Rankings,1
1344,1996-1999,7,Fisher Scoring and a Mixture of Modes Approach for Approximate Inference and Learning in Nonlinear State Space Models,Learning Nonlinear Dynamical Systems Using an EM Algorithm,1
1345,2008-2011,8,The Fast Convergence of Boosting,Sparse Random Feature Algorithm as Coordinate Descent in Hilbert Space,1
1346,2011-2014,9,The Fast Convergence of Boosting,Sparse Random Feature Algorithm as Coordinate Descent in Hilbert Space,1
1347,2011-2014,10,Deep Neural Networks Segment Neuronal Membranes in Electron Microscopy Images,Deep Networks with Internal Selective Attention through Feedback Connections,1
1348,2008-2011,11,Gaussian sampling by local perturbations,Training sparse natural image models with a fast Gibbs sampler of an extended state space,1
1349,2008-2011,11,Gaussian sampling by local perturbations,On Sampling from the Gibbs Distribution with Random Maximum A-Posteriori Perturbations,1
1350,2008-2011,11,Gaussian sampling by local perturbations,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,1
1351,2005-2008,12,The Recurrent Temporal Restricted Boltzmann Machine,Sequence learning with hidden units in spiking neural networks,1
1352,2008-2011,13,The Recurrent Temporal Restricted Boltzmann Machine,Sequence learning with hidden units in spiking neural networks,1
1353,1999-2002,0,Spectral Relaxation for K-means Clustering,Size Regularized Cut for Data Clustering,1
1354,2008-2011,1,On U-processes and clustering performance,Extending Gossip Algorithms to Distributed Estimation of U-statistics,1
1355,2008-2011,1,On U-processes and clustering performance,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1
1356,2011-2014,2,On U-processes and clustering performance,Extending Gossip Algorithms to Distributed Estimation of U-statistics,1
1357,2011-2014,2,On U-processes and clustering performance,SGD Algorithms based on Incomplete U-statistics: Large-Scale Minimization of Empirical Risk,1
1358,1999-2002,3,Dynamic Bayesian Networks with Deterministic Latent Tables,Learning in Spiking Neural Assemblies,1
1359,2002-2005,4,Dynamic Bayesian Networks with Deterministic Latent Tables,Learning in Spiking Neural Assemblies,1
1360,1996-1999,5,The Infinite Gaussian Mixture Model,Occam's Razor,1
1361,1996-1999,5,The Infinite Gaussian Mixture Model,Infinite Mixtures of Gaussian Process Experts,1
1362,1996-1999,5,The Infinite Gaussian Mixture Model,Copula Processes,1
1363,1996-1999,5,The Infinite Gaussian Mixture Model,Construction of Dependent Dirichlet Processes based on Poisson Processes,1
1364,1996-1999,5,The Infinite Gaussian Mixture Model,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,1
1365,1996-1999,5,The Infinite Gaussian Mixture Model,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,1
1366,1999-2002,6,The Infinite Gaussian Mixture Model,Occam's Razor,1
1367,1999-2002,6,The Infinite Gaussian Mixture Model,Infinite Mixtures of Gaussian Process Experts,1
1368,1999-2002,6,The Infinite Gaussian Mixture Model,Copula Processes,1
1369,1999-2002,6,The Infinite Gaussian Mixture Model,Construction of Dependent Dirichlet Processes based on Poisson Processes,1
1370,1999-2002,6,The Infinite Gaussian Mixture Model,Coupling Nonparametric Mixtures via Latent Dirichlet Processes,1
1371,1999-2002,6,The Infinite Gaussian Mixture Model,Online Learning of Nonparametric Mixture Models via Sequential Variational Approximation,1
1372,2011-2014,7,Fast Determinantal Point Process Sampling with Application to Clustering,Expectation-Maximization for Learning Determinantal Point Processes,1
1373,2005-2008,8,Structured ranking learning using cumulative distribution networks,Exponential Family Graph Matching and Ranking,1
1374,2008-2011,9,Structured ranking learning using cumulative distribution networks,Exponential Family Graph Matching and Ranking,1
1375,2011-2014,10,A Neural Autoregressive Topic Model,An Autoencoder Approach to Learning Bilingual Word Representations,1
1376,2011-2014,11,Deep Neural Networks for Object Detection,Deep Joint Task Learning for Generic Object Extraction,1
1377,2002-2005,12,Maximum Margin Clustering,Q-Clustering,1
1378,2002-2005,12,Maximum Margin Clustering,Which Space Partitioning Tree to Use for Search?,1
1379,2011-2014,13,Consistency of weighted majority votes,"Data Programming: Creating Large Training Sets, Quickly",1
1380,2014-2017,0,Consistency of weighted majority votes,"Data Programming: Creating Large Training Sets, Quickly",1
1381,2014-2017,1,Online Learning with Gaussian Payoffs and Side Observations,Causal Bandits: Learning Good Interventions via Causal Inference,1
1382,2008-2011,2,Structured sparse coding via lateral inhibition,Learning the Dependency Structure of Latent Factors,1
1383,2008-2011,2,Structured sparse coding via lateral inhibition,Extracting regions of interest from biological images with convolutional sparse block coding,1
1384,2011-2014,3,Structured sparse coding via lateral inhibition,Learning the Dependency Structure of Latent Factors,1
