Level1,Level2,Level3,Level4,Federal,,Total
General Government,General services,General purpose fiscal assistance (806),Forest Service Permanent Appropriations,0.224,b,0.224
General Government,General services,Social Security Integrity and Debt Reduction (807),,0,,0
General Government,General services,Other general government (808),Assistance to Territories,0.07,b,0.07
General Government,General services,Other general government (808),Compact of Free Association,0.256,b,0.256
General Government,General services,Other general government (808),Federal Trust Programs,0.147,b,0.147
General Government,General services,Other general government (808),"Claims, Judgments, and Relief Acts",0.816,b,0.816
General Government,General services,Other general government (808),Government Printing Office Revolving Fund,0.182,b,0.182
General Government,General services,Other general government (808),Salaries and Expenses,0.071,b,0.071
General Government,General services,Federal Intergovernmental  General Local Government Support (B30),,0,g,0.8
Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Space Operations,4.271,b,4.271
Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Science,5,b,5
Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Cross Agency Support,2.921,b,2.921
Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Exploration,3.859,b,3.859
Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Education,0.173,b,0.173
Other Spending,Basic research,"Space flight, research, and supporting activities (252)","Construction, Environmental Compliance, and Remediation",0.545,b,0.545
Other Spending,Basic research,"Space flight, research, and supporting activities (252)",Space Technology,0.519,b,0.519
Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Deposit Insurance Fund,17.093,b,17.093
Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Orderly Liquidation Fund,1.515,b,1.515
Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Credit Union Share Insurance Fund,0.139,b,0.139
Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Central Liquidity Facility,0.11,b,0.11
Other Spending,"General economic, commercial and labour ",Deposit insurance (373),Temporary Corporate Credit Union Stabilization Fund,0.755,b,0.755
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Surveys, Investigations, and Research",1.141,b,1.141
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Coastal Impact Assistance,0.092,b,0.092
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Salaries and Expenses,0.268,b,0.268
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Salaries and Expenses,0.065,b,0.065
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Working Capital Fund,0.102,b,0.102
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Interior Franchise Fund,0.388,b,0.388
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Operations, Research, and Facilities",0.105,b,0.105
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Operations, Research, and Facilities",3.12,b,3.12
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),Pacific Coastal Salmon Recovery,0.076,b,0.076
Other Spending,"Agriculture, forestry, fishing and hunti",Other natural resources (306),"Procurement, Acquisition and Construction",1.715,b,1.715
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Farm Credit System Insurance Fund,0.153,b,0.153
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Administrative and Operating Expenses,0.075,b,0.075
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Federal Crop Insurance Corporation Fund,0.075,b,0.075
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Federal Crop Insurance Corporation Fund,9.162,b,9.162
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Credit Insurance Fund Program Account,0.415,b,0.415
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Discrimination Claims Settlement,1.15,b,1.15
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Credit Insurance Fund Liquidating Account,0.163,b,0.163
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Commodity Credit Corporation Fund,6.522,b,6.522
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Agricultural Disaster Relief Fund,1.395,b,1.395
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Salaries and Expenses,1.207,b,1.207
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Tobacco Trust Fund,0.96,b,0.96
Other Spending,"Agriculture, forestry, fishing and hunti",Farm income stabilization (351),Departmental Administration,0.082,b,0.082
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),"Deposits of Fees, Inspection and Grading of Farm Products, AMS",0.151,b,0.151
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Economic Research Service,0.086,b,0.086
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),National Agricultural Statistics Service,0.178,b,0.178
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,1.135,b,1.135
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Research and Education Activities,0.337,b,0.337
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Research and Education Activities,0.478,b,0.478
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Integrated Activities,0.083,b,0.083
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Extension Activities,0.613,b,0.613
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Extension Activities,0.095,b,0.095
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,0.857,b,0.857
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,0.27,b,0.27
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Marketing Services,0.081,b,0.081
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Payments to States and Possessions,0.054,b,0.054
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),"Expenses and Refunds, Inspection and Grading of Farm Products",0.15,b,0.15
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Agriculture Buildings and Facilities and Rental Payments,0.244,b,0.244
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Salaries and Expenses,0.177,b,0.177
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Office of Civil Rights,0.054,b,0.054
Other Spending,"Agriculture, forestry, fishing and hunti",Agricultural research and services (352),Office of Inspector General,0.092,b,0.092
Other Spending,"Agriculture, forestry, fishing and hunti","Federal Intergovernmental  Natural Resources, Agriculture (Disc. 2005) (B54)",,0,,0
Other Spending,"Agriculture, forestry, fishing and hunti",Federal Intergovernmental  Natural Resources (B59),,0,g,2.6
Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  Agriculture  Other (Disc. 2005) (E54),,0,,0
Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  State Fish and Game (E55),,0,g,3.1
Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  State Forestry (E56),,0,g,1.7
Other Spending,"Agriculture, forestry, fishing and hunti",Current Operations  Natural Resources  Other (E59),,0,g,6.5
Other Spending,"Agriculture, forestry, fishing and hunti",Construction  Agriculture  Other (Disc. 2005) (F54),,0,,0
Other Spending,"Agriculture, forestry, fishing and hunti",Construction  State Fish and Game (F55),,0,g,0.1
Other Spending,"Agriculture, forestry, fishing and hunti",Construction  State Forestry (F56),,0,g,0.1
Other Spending,"Agriculture, forestry, fishing and hunti",Construction  Natural Resources  Other (F59),,0,g,2.4
Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  Agriculture  Other (Disc. 2005) (G54),,0,,0
Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  State Fish and Game (G55),,0,g,0.5
Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  State Forestry (G56),,0,g,0.2
Other Spending,"Agriculture, forestry, fishing and hunti",Other Capital Outlay  Natural Resources  Other (G59),,0,g,1.3
Other Spending,Fuel and energy,Energy supply (271),Payment Where Specified Energy Property Credit Exceeds Liability for Tax,2.144,b,2.144
Other Spending,Fuel and energy,Energy supply (271),"Grants for Specified Energy Property in Lieu of Tax Credits, Recovery Act",1.705,b,1.705
Other Spending,Fuel and energy,Energy supply (271),"Sale and Transmission of Electric Energy, Southwestern Power Administration",0.078,b,0.078
Other Spending,Fuel and energy,Energy supply (271),"Sale and Transmission of Electric Energy, Southeastern Power Administration",0.179,b,0.179
Other Spending,Fuel and energy,Energy supply (271),"Reclamation Fund, All Other, Sale of Electric Energy, Bonneville Power Administration",0.09,b,0.09
Other Spending,Fuel and energy,Energy supply (271),"Reclamation Fund, All Other, Sale of Power and Other Utilities (WAPA)",0.189,b,0.189
Other Spending,Fuel and energy,Energy supply (271),Nuclear Waste Disposal Fund,0.783,b,0.783
Other Spending,Fuel and energy,Energy supply (271),"General Fund Payment  Defense, Decontamination and Decommissioning Fund",0.463,b,0.463
Other Spending,Fuel and energy,Energy supply (271),Title 17 Innovative Technology Loan Guarantee Program,0.55,b,0.55
Other Spending,Fuel and energy,Energy supply (271),Fossil Energy Research and Development,1.668,b,1.668
Other Spending,Fuel and energy,Energy supply (271),Nondefense Environmental Cleanup,0.223,b,0.223
Other Spending,Fuel and energy,Energy supply (271),Electricity Delivery and Energy Reliability,0.786,b,0.786
Other Spending,Fuel and energy,Energy supply (271),Nuclear Energy,0.764,b,0.764
Other Spending,Fuel and energy,Energy supply (271),Energy Efficiency and Renewable Energy,1.529,b,1.529
Other Spending,Fuel and energy,Energy supply (271),"Energy Transformation Acceleration Fund, Recovery Act",0.07,b,0.07
Other Spending,Fuel and energy,Energy supply (271),Advanced Research Projects Agency,0.271,b,0.271
Other Spending,Fuel and energy,Energy supply (271),Uranium Enrichment Decontamination and Decommissioning Fund,0.518,b,0.518
Other Spending,Fuel and energy,Energy supply (271),"Western Area Power Administration, Borrowing Authority, Recovery Act.",0.218,b,0.218
Other Spending,Fuel and energy,Energy supply (271),"Construction, Rehabilitation, Operation and Maintenance, Western Area Power Administration",0.31,b,0.31
Other Spending,Fuel and energy,Energy supply (271),Tennessee Valley Authority Fund,0.945,b,0.945
Other Spending,Fuel and energy,Energy supply (271),"Rural Electrification and Telephone Loans, Negative Subsidies",0.183,b,0.183
Other Spending,Fuel and energy,Energy supply (271),Rural Electrification and Telecommunications Liquidating Account,0.478,b,0.478
Other Spending,Fuel and energy,Energy conservation (272),Energy Efficiency and Renewable Energy,1.01,b,1.01
Other Spending,Fuel and energy,Energy conservation (272),Energy Efficiency and Renewable Energy,1.682,b,1.682
Other Spending,Fuel and energy,Energy conservation (272),Advanced Technology Vehicles Manufacturing Loan Program Account,0.361,b,0.361
Other Spending,Fuel and energy,Energy conservation (272),"Advanced Vehicles, Community Deployment Challenge",0.15,b,0.15
Other Spending,Fuel and energy,Energy conservation (272),Home Energy Retrofit Rebate Program,0.3,b,0.3
Other Spending,Fuel and energy,Emergency energy preparedness (274),Strategic Petroleum Reserve,0.25,b,0.25
Other Spending,Fuel and energy,Emergency energy preparedness (274),SPR Petroleum Account,0.096,b,0.096
Other Spending,Fuel and energy,"Energy information, policy, and regulation (276)",Energy Information Administration,0.112,b,0.112
Other Spending,Fuel and energy,"Energy information, policy, and regulation (276)",Departmental Administration,0.175,b,0.175
Other Spending,Fuel and energy,"Energy information, policy, and regulation (276)",Salaries and Expenses,1.061,b,1.061
Other Spending,Fuel and energy,"Energy information, policy, and regulation (276)","Nuclear Facility Fees, Nuclear Regulatory Commission",0.925,b,0.925
Other Spending,Fuel and energy,"Energy information, policy, and regulation (276)",Electric Reliability Organization,0.1,b,0.1
Other Spending,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),Royalties on Outer Continental Shelf Lands,5.907,b,5.907
Other Spending,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),"Land and Water Conservation Fund, Rent Receipts, Outer Continental Shelf Lands",0.702,b,0.702
Other Spending,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),"Land and Water Conservation Fund, Royalty Receipts, Outer Continental Shelf",0.195,b,0.195
Other Spending,Fuel and energy,Rents and royalties on the Outer Continental Shelf (953),"Historic Preservation Fund, Rent Receipts, Outer Continental Shelf Lands",0.15,b,0.15
Other Spending,Fuel and energy,Federal Intergovernmental  Electric Utilities (B92),,0,g,0.2
Other Spending,Fuel and energy,Federal Intergovernmental  Gas Utilities (B93),,0,,0
Other Spending,Fuel and energy,Current Operations  Electric Utilities (E92),,0,g,62.7
Other Spending,Fuel and energy,Current Operations  Gas Utilities (E93),,0,g,8.2
Other Spending,Fuel and energy,Construction  Electric Utilities (F92),,0,g,6.8
Other Spending,Fuel and energy,Construction  Gas Utilities (F93),,0,g,0.5
Other Spending,Fuel and energy,Other Capital Outlay  Electric Utilities (G92),,0,g,1.5
Other Spending,Fuel and energy,Other Capital Outlay  Gas Utilities (G93),,0,g,0.2
Other Spending,Fuel and energy,Electric Utilities  Interest on Debt (I92),,0,g,4.9
Other Spending,Fuel and energy,Gas Utilities  Interest on Debt (I93),,0,g,0.4
Other Spending,"Mining, manufacturing and construction",,,0,,0
Other Spending,Communication,Postal Service (372),"Postal Service Contributions for Benefits Paid to Retirees, Postal Service Retiree Health Benefits Fund",0.876,b,0.876
Other Spending,Communication,Postal Service (372),Payment to Postal Service Fund,0.078,b,0.078
Other Spending,Communication,Postal Service (372),Office of Inspector General of the United States Postal Service,0.241,b,0.241
Other Spending,Communication,Postal Service (372),Postal Service Fund,6.912,b,6.912
Other Spending,Communication,Postal Service (372),Unspecified Adjustments to Operations,2.037,b,2.037
Other Spending,Other industries,Current Operations  Liquor Stores (E90),,0,g,6.9
Other Spending,Other industries,Construction  Liquor Stores (F90),,0,g,0
Other Spending,Other industries,Other Capital Outlay  Liquor Stores (G90),,0,g,0
Other Spending,R&D Economic affairs,,,0,,0
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Continued Dumping and Subsidy Offset,0.126,b,0.126
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Terrorism Insurance Program,0.245,b,0.245
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Office of Financial Stability,0.291,b,0.291
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),State Small Business Credit Initiative,0.251,b,0.251
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Financial Research Fund,0.154,b,0.154
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.582,b,0.582
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Business Loans Program Account,0.491,b,0.491
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Commodity Futures Trading Commission,0.297,b,0.297
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Universal Service Fund,1.867,b,1.867
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Universal Service Fund,7.795,b,7.795
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.158,b,0.158
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.105,b,0.105
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Investor Protection Fund,0.133,b,0.133
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Public Company Accounting Oversight Board,0.236,b,0.236
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Securities Investor Protection Corporation,0.299,b,0.299
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Travel Promotion Fund,0.1,b,0.1
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Bureau of Consumer Financial Protection Fund,0.394,b,0.394
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Operations and Administration,0.198,b,0.198
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),"Spectrum Auction Receipts, Public Safety Trust Fund",1.216,b,1.216
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Operations and Administration,0.497,b,0.497
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Operations and Administration,0.068,b,0.068
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Promote and Develop Fishery Products and Research Pertaining to American Fisheries,0.071,b,0.071
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Promote and Develop Fishery Products and Research Pertaining to American Fisheries,0.071,b,0.071
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Scientific and Technical Research and Services,0.705,b,0.705
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Wireless Innovation (WIN) Fund,0.288,b,0.288
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Construction of Research Facilities,0.182,b,0.182
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Industrial Technology Services,0.156,b,0.156
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),National Network for Manufacturing Innovation,0.208,b,0.208
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.056,b,0.056
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),State and Local Implementation Fund,0.16,b,0.16
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.062,b,0.062
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),"Broadband Technology Opportunities Program, Recovery Act",1.159,b,1.159
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Incentive Auction Relocation Fund,0.5,b,0.5
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Public Safety Trust Fund,1.216,b,1.216
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.259,b,0.259
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Periodic Censuses and Programs,0.717,b,0.717
Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0.1,b,0.1
Other Spending,Economic affairs n.e.c.,Sale of major assets (954),Proceeds from Sale of Securities from the AIG Credit Facility Trust,4.035,b,4.035
Other Spending,Economic affairs n.e.c.,Sale of major assets (954),Asset Sale Proceeds,0.12,b,0.12
Other Spending,Economic affairs n.e.c.,Other undistributed offsetting receipts (959),Auction Receipts,0.425,b,0.425
Other Spending,Economic affairs n.e.c.,Other undistributed offsetting receipts (959),Spectrum License User Fees,0.2,b,0.2
Other Spending,Economic affairs n.e.c.,"Current Operations  Miscellaneous Commercial Activities, NEC (E03)",,0,g,8
Other Spending,Economic affairs n.e.c.,"Construction  Miscellaneous Commercial Activities, NEC (F03)",,0,g,0.3
Other Spending,Economic affairs n.e.c.,"Other Capital Outlay  Miscellaneous Commercial Activities, NEC (G03)",,0,g,0.1
Other Spending,Waste management,Current Operations  Solid Waste Management (E81),,0,g,26.9
Other Spending,Waste management,Construction  Solid Waste Management (F81),,0,g,1.5
Other Spending,Waste management,Other Capital Outlay  Solid Waste Management (G81),,0,g,1.2
Other Spending,Waste water management,Federal Intergovernmental  Sewerage (B80),,0,g,3.4
Other Spending,Waste water management,Current Operations  Sewerage (E80),,0,g,31.3
Other Spending,Waste water management,Construction  Sewerage (F80),,0,g,23.5
Other Spending,Waste water management,Other Capital Outlay  Sewerage (G80),,0,g,2.1
Other Spending,Pollution abatement,Pollution control and abatement (304),State and Tribal Assistance Grants,3.876,b,3.876
Other Spending,Pollution abatement,Pollution control and abatement (304),Science and Technology,0.812,b,0.812
Other Spending,Pollution abatement,Pollution control and abatement (304),Environmental Programs and Management,2.743,b,2.743
Other Spending,Pollution abatement,Pollution control and abatement (304),Payment to the Hazardous Substance Superfund,1.011,b,1.011
Other Spending,Pollution abatement,Pollution control and abatement (304),Working Capital Fund,0.061,b,0.061
Other Spending,Pollution abatement,Pollution control and abatement (304),"Recoveries, Hazardous Substance Superfund",0.104,b,0.104
Other Spending,Pollution abatement,Pollution control and abatement (304),"Interfund Transactions, Hazardous Substance Superfund",1.011,b,1.011
Other Spending,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,0.211,b,0.211
Other Spending,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,1.202,b,1.202
Other Spending,Pollution abatement,Pollution control and abatement (304),Leaking Underground Storage Tank Trust Fund,0.106,b,0.106
Other Spending,Pollution abatement,Pollution control and abatement (304),Maritime Oil Spill Programs,0.155,b,0.155
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Rent and Bonuses from Land Leases for Resource Exploration and Extraction,0.065,b,0.065
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Royalties on Natural Resources, not Otherwise Classified",0.377,b,0.377
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Reclamation Fund, Royalties on Natural Resources",1.732,b,1.732
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Receipts from Mineral Leasing, Public Lands",2.184,b,2.184
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Payment from the General Fund, Cooperative Endangered Species Conservation Fund",0.057,b,0.057
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Natural Resources Damages from Legal Actions,0.057,b,0.057
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Land Sales, Southern Nevada Public Land Management",0.1,b,0.1
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Resource Management,1.327,b,1.327
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),State and Tribal Wildlife Grants,0.079,b,0.079
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0.096,b,0.096
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0.09,b,0.09
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0.053,b,0.053
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Offshore Safety and Environmental Enforcement,0.074,b,0.074
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Management of Lands and Resources,0.991,b,0.991
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Oregon and California Grant Lands,0.112,b,0.112
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Permanent Operating Funds,0.219,b,0.219
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Ocean Energy Management,0.077,b,0.077
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Operation of Indian Programs,0.174,b,0.174
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Regulation and Technology,0.081,b,0.081
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Payments to States in Lieu of Coal Fee Receipts,0.082,b,0.082
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Abandoned Mine Reclamation Fund,0.153,b,0.153
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,0.849,b,0.849
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Natural Resource Damage Assessment Fund,0.061,b,0.061
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),National Forest Fund,0.054,b,0.054
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"National Forests Fund, Payments to States",0.07,b,0.07
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),National Grasslands,0.062,b,0.062
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Commodity Credit Corporation Fund,2.196,b,2.196
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Conservation Operations,0.816,b,0.816
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,0.128,b,0.128
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,3.309,b,3.309
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Capital Improvement and Maintenance,0.47,b,0.47
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Forest and Rangeland Research,0.331,b,0.331
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0.309,b,0.309
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0.12,b,0.12
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),National Forest System,1.68,b,1.68
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,2.383,b,2.383
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Forest Service Permanent Appropriations,0.094,b,0.094
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0.07,b,0.07
Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Forest Service Trust Funds,0.127,b,0.127
Other Spending,R&D Environmental protection,,,0,,0
Other Spending,Environmental protection n.e.c.,,,0,,0
Other Spending,Housing development,Mortgage credit (371),GSE Fees Pursuant to P.L. 11278 Sec. 401,1.479,b,1.479
Other Spending,Housing development,Mortgage credit (371),"Proceeds, GSE Equity Related Transactions",21.69,b,21.69
Other Spending,Housing development,Mortgage credit (371),GSE Preferred Stock Purchase Agreements,12.7,b,12.7
Other Spending,Housing development,Mortgage credit (371),"FHAgeneral and Special Risk, Negative Subsidies",0.588,b,0.588
Other Spending,Housing development,Mortgage credit (371),"GNMAguarantees of Mortgage Backed Securities Guarantee Loans, Negative Subsidies",0.55,b,0.55
Other Spending,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Loan Guarantee Program Account,0.067,b,0.067
Other Spending,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Liquidating Account,0.197,b,0.197
Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Program Account,0.136,b,0.136
Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,8.188,b,8.188
Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,0.152,b,0.152
Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,0.052,b,0.052
Other Spending,Housing development,Mortgage credit (371),FHAgeneral and Special Risk Insurance Funds Liquidating Account,0.06,b,0.06
Other Spending,Housing development,Mortgage credit (371),Housing for the Elderly or Handicapped Fund Liquidating Account,0.54,b,0.54
Other Spending,Housing development,Mortgage credit (371),"Federal Housing Finance Agency, Administrative Expenses",0.236,b,0.236
Other Spending,Housing development,Mortgage credit (371),"Rural Housing Insurance, Negative Subsidies",0.062,b,0.062
Other Spending,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Program Account,0.506,b,0.506
Other Spending,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Liquidating Account,0.56,b,0.56
Other Spending,Community development,Community development (451),Community Development Financial Institutions Fund Program Account,0.209,b,0.209
Other Spending,Community development,Community development (451),Research and Technology,0.059,b,0.059
Other Spending,Community development,Community development (451),Lead Hazard Reduction,0.13,b,0.13
Other Spending,Community development,Community development (451),Office of Inspector General,0.128,b,0.128
Other Spending,Community development,Community development (451),Community Planning and Development Personnel Compensation and Benefits,0.104,b,0.104
Other Spending,Community development,Community development (451),Transformation Initiative,0.101,b,0.101
Other Spending,Community development,Community development (451),Working Capital Fund,0.284,b,0.284
Other Spending,Community development,Community development (451),Community Development Fund,5.704,b,5.704
Other Spending,Community development,Community development (451),Neighborhood Stabilization Program,5.548,b,5.548
Other Spending,Community development,Community development (451),Payment to Neighborhood Reinvestment Corporation,0.213,b,0.213
Other Spending,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Special Fund",0.315,b,0.315
Other Spending,Community development,Area and regional development (452),"Power Revenues, Indian Irrigation Projects",0.07,b,0.07
Other Spending,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Trust Fund",0.097,b,0.097
Other Spending,Community development,Area and regional development (452),Operation of Indian Programs,0.157,b,0.157
